,year,model,scenario,tas
208,2070,IPSL-CM5A-LR,rcp85,-2.130795073740151
209,2080,IPSL-CM5A-LR,rcp85,-1.6342511926354335
210,2090,IPSL-CM5A-LR,rcp85,-0.11611053236201145
211,2100,IPSL-CM5A-LR,rcp85,0.43924531142037865
212,2110,IPSL-CM5A-LR,rcp85,1.1306820003018734
213,2120,IPSL-CM5A-LR,rcp85,1.7251684197644879
214,2130,IPSL-CM5A-LR,rcp85,2.512348429826267
215,2140,IPSL-CM5A-LR,rcp85,2.903684027740635
216,2150,IPSL-CM5A-LR,rcp85,4.005117869274364
217,2160,IPSL-CM5A-LR,rcp85,5.036396726794669
218,2170,IPSL-CM5A-LR,rcp85,5.856549337528208
219,2180,IPSL-CM5A-LR,rcp85,5.914161108038151
220,2190,IPSL-CM5A-LR,rcp85,6.477468935987143
221,2200,IPSL-CM5A-LR,rcp85,7.010646819255858
222,2210,IPSL-CM5A-LR,rcp85,7.047644810280239
223,2220,IPSL-CM5A-LR,rcp85,7.538371581040772
224,2230,IPSL-CM5A-LR,rcp85,8.377852737053008
225,2240,IPSL-CM5A-LR,rcp85,8.23499064690939
226,2250,IPSL-CM5A-LR,rcp85,8.110819645567341
227,2260,IPSL-CM5A-LR,rcp85,8.684779208177632
228,2270,IPSL-CM5A-LR,rcp85,8.996597627266118
229,2280,IPSL-CM5A-LR,rcp85,9.262442442662177
230,2290,IPSL-CM5A-LR,rcp85,9.127336850387097
231,2300,IPSL-CM5A-LR,rcp85,9.168614071652023
232,2000,MRI-CGCM3,rcp45,-9.25067182933893
233,2010,MRI-CGCM3,rcp45,-9.222567101962257
234,2020,MRI-CGCM3,rcp45,-8.501556196221959
235,2030,MRI-CGCM3,rcp45,-7.955492701632745
236,2040,MRI-CGCM3,rcp45,-7.433728104724899
237,2050,MRI-CGCM3,rcp45,-7.045147274529405
238,2060,MRI-CGCM3,rcp45,-7.2753384323425765
239,2070,MRI-CGCM3,rcp45,-6.746743231353148
240,2080,MRI-CGCM3,rcp45,-6.252419236240864
241,2090,MRI-CGCM3,rcp45,-6.751020576898391
242,2100,MRI-CGCM3,rcp45,-6.251891442937333
243,2000,MRI-CGCM3,rcp60,-8.980517735363497
244,2010,MRI-CGCM3,rcp60,-8.345495195039126
245,2020,MRI-CGCM3,rcp60,-7.935108407401333
246,2030,MRI-CGCM3,rcp60,-7.652947832451214
247,2040,MRI-CGCM3,rcp60,-8.221978966837582
248,2050,MRI-CGCM3,rcp60,-7.519436102137374
249,2060,MRI-CGCM3,rcp60,-7.067376520483893
250,2070,MRI-CGCM3,rcp60,-6.266406618334277
251,2080,MRI-CGCM3,rcp60,-6.09971769932493
252,2090,MRI-CGCM3,rcp60,-6.185288900482443
253,2100,MRI-CGCM3,rcp60,-4.764134756661168
254,2000,MRI-CGCM3,rcp85,-8.684418187348655
255,2010,MRI-CGCM3,rcp85,-8.533334479193408
256,2020,MRI-CGCM3,rcp85,-7.939632454887657
257,2030,MRI-CGCM3,rcp85,-7.947040575852447
258,2040,MRI-CGCM3,rcp85,-7.330203180367761
259,2050,MRI-CGCM3,rcp85,-6.127092026641304
260,2060,MRI-CGCM3,rcp85,-5.409992919439017
261,2070,MRI-CGCM3,rcp85,-5.163868670122843
262,2080,MRI-CGCM3,rcp85,-4.4343135881523095
263,2090,MRI-CGCM3,rcp85,-3.8684056408803458
264,2100,MRI-CGCM3,rcp85,-2.9188246102862405
265,2000,NCAR-CCSM4,rcp45,-6.038910049847822
266,2010,NCAR-CCSM4,rcp45,-6.0880146840080664
267,2020,NCAR-CCSM4,rcp45,-7.056477532153912
268,2030,NCAR-CCSM4,rcp45,-6.481451631135223
269,2040,NCAR-CCSM4,rcp45,-6.256805978613781
270,2050,NCAR-CCSM4,rcp45,-6.518873063886471
271,2060,NCAR-CCSM4,rcp45,-4.99428960135757
272,2070,NCAR-CCSM4,rcp45,-4.694190837009496
273,2080,NCAR-CCSM4,rcp45,-4.886690513927715
274,2090,NCAR-CCSM4,rcp45,-5.045923283658844
275,2100,NCAR-CCSM4,rcp45,-4.334851332052742
276,2110,NCAR-CCSM4,rcp45,-4.222543605640202
277,2120,NCAR-CCSM4,rcp45,-4.436738671622428
278,2130,NCAR-CCSM4,rcp45,-3.994758322819403
279,2140,NCAR-CCSM4,rcp45,-3.665306426136832
280,2150,NCAR-CCSM4,rcp45,-3.6415156917087437
281,2160,NCAR-CCSM4,rcp45,-4.485763253744406
282,2170,NCAR-CCSM4,rcp45,-3.2574406266194322
283,2180,NCAR-CCSM4,rcp45,-4.110021097011153
284,2190,NCAR-CCSM4,rcp45,-3.735777290685103
285,2200,NCAR-CCSM4,rcp45,-3.53488048841905
286,2210,NCAR-CCSM4,rcp45,-3.848407645114047
287,2220,NCAR-CCSM4,rcp45,-3.933238600852723
288,2230,NCAR-CCSM4,rcp45,-2.7711412180739003
289,2240,NCAR-CCSM4,rcp45,-4.0100498954896375
290,2250,NCAR-CCSM4,rcp45,-3.688845082181505
291,2260,NCAR-CCSM4,rcp45,-3.262887430706108
292,2270,NCAR-CCSM4,rcp45,-3.191928478360714
293,2280,NCAR-CCSM4,rcp45,-3.8636884927568276
294,2290,NCAR-CCSM4,rcp45,-3.9223223478594957
295,2000,NCAR-CCSM4,rcp60,-7.140764929882029
296,2010,NCAR-CCSM4,rcp60,-7.719373136166657
297,2020,NCAR-CCSM4,rcp60,-6.688576212397962
298,2030,NCAR-CCSM4,rcp60,-6.55652166540975
299,2040,NCAR-CCSM4,rcp60,-5.752871745423097
300,2050,NCAR-CCSM4,rcp60,-5.116629961382225
301,2060,NCAR-CCSM4,rcp60,-5.357320212263553
302,2070,NCAR-CCSM4,rcp60,-4.710257882093511
303,2080,NCAR-CCSM4,rcp60,-4.169404474913552
304,2090,NCAR-CCSM4,rcp60,-3.546630582350481
305,2100,NCAR-CCSM4,rcp60,-4.300574043088597
306,2110,NCAR-CCSM4,rcp60,-2.928676509078531
307,2120,NCAR-CCSM4,rcp60,-2.0675466612051667
308,2130,NCAR-CCSM4,rcp60,-2.4371228962727085
309,2140,NCAR-CCSM4,rcp60,-2.9420763781917176
310,2150,NCAR-CCSM4,rcp60,-2.500959248931868
311,2160,NCAR-CCSM4,rcp60,-2.1731183089447756
312,2170,NCAR-CCSM4,rcp60,-1.8787512357460212
313,2180,NCAR-CCSM4,rcp60,-2.1799391493823177
314,2190,NCAR-CCSM4,rcp60,-2.3848370734924313
315,2200,NCAR-CCSM4,rcp60,-1.674620816886434
316,2210,NCAR-CCSM4,rcp60,-1.8393667063501968
317,2220,NCAR-CCSM4,rcp60,-0.7813954418961421
318,2230,NCAR-CCSM4,rcp60,-1.8031036737549286
319,2240,NCAR-CCSM4,rcp60,-0.8209453026199754
320,2250,NCAR-CCSM4,rcp60,-1.5681717374720296
321,2260,NCAR-CCSM4,rcp60,-1.665199749411358
322,2270,NCAR-CCSM4,rcp60,-1.491705085479304
323,2280,NCAR-CCSM4,rcp60,-1.5628287169843729
324,2290,NCAR-CCSM4,rcp60,-1.6077754802385626
325,2300,NCAR-CCSM4,rcp60,-0.709873973467848
326,2000,NCAR-CCSM4,rcp85,-8.424295163576572
327,2010,NCAR-CCSM4,rcp85,-7.263631675182803
328,2020,NCAR-CCSM4,rcp85,-7.064092809887117
329,2030,NCAR-CCSM4,rcp85,-5.52574946429958
330,2040,NCAR-CCSM4,rcp85,-5.570503398060126
331,2050,NCAR-CCSM4,rcp85,-4.29916046651746
332,2060,NCAR-CCSM4,rcp85,-3.0634056466994077
333,2070,NCAR-CCSM4,rcp85,-2.510784374155617
334,2080,NCAR-CCSM4,rcp85,-1.3202230343900156
335,2090,NCAR-CCSM4,rcp85,-0.4801118322291475
336,2100,NCAR-CCSM4,rcp85,0.11821882606876732
